,links,names,ratings,price for one,crusine
137,https://www.zomato.com/bangalore/bangalore-thindies-infantry-road-bangalore/order,Bangalore Thindies,3.9,₹150 for one,"South Indian, Beverages"
138,https://www.zomato.com/bangalore/five-star-chicken-koli-hut-malleshwaram-bangalore/order,Five Star Chicken & Koli Hut,3.6,₹150 for one,Fast Food
139,https://www.zomato.com/bangalore/kc-das-st-marks-road-bangalore/order,KC Das,4.4,₹150 for one,"Mithai, Street Food"
140,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-wilson-garden-bangalore/order,Kwality wall's Frozen Dessert and Ice Cream Shop,4.5,₹150 for one,"Ice Cream, Desserts"
141,https://www.zomato.com/bangalore/chaayos-meri-wali-chai-koramangala-7th-block-bangalore/order,Chaayos - Meri Wali Chai,3.9,₹150 for one,"Tea, Street Food, Fast Food, Beverages, Desserts"
142,https://www.zomato.com/bangalore/shahi-restaurant-shivajinagar-bangalore/order,Shahi Restaurant,3.8,₹150 for one,"Fast Food, Sandwich, Desserts, Beverages, Street Food, Ice Cream, Burger"
143,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,Five Star Chicken,3.9,₹150 for one,Fast Food
144,https://www.zomato.com/bangalore/sweet-chariot-cafe-residency-road/order,Sweet Chariot Cafe,4.4,₹100 for one,"Bakery, Desserts, Fast Food"
145,https://www.zomato.com/bangalore/atithi-satkaar-city-market-bangalore/order,Atithi Satkaar,3.9,₹100 for one,"North Indian, South Indian, Chinese, Fast Food, Ice Cream"
146,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order,Starbucks Coffee,3.9,₹100 for one,"Cafe, Beverages, Desserts"
147,https://www.zomato.com/bangalore/shalimar-family-restaurant-shivajinagar-bangalore/order,Shalimar Family Restaurant,New,₹100 for one,"North Indian, Chinese"
148,https://www.zomato.com/bangalore/tata-cha-cunningham-road-bangalore/order,Tata Cha,4.1,₹100 for one,"Cafe, Tea, Beverages, Street Food"
149,https://www.zomato.com/bangalore/third-wave-coffee-roasters-lavelle-road-bangalore/order,Third Wave Coffee Roasters,4.6,₹100 for one,"Coffee, Cafe, Fast Food, Desserts, Beverages"
150,https://www.zomato.com/bangalore/sweet-truth-shanti-nagar-bangalore/order,Sweet Truth,New,₹100 for one,"Bakery, Desserts"
151,https://www.zomato.com/bangalore/slay-coffee-1-shanti-nagar-bangalore/order,Slay Coffee,4.1,₹100 for one,"Coffee, Beverages"
152,https://www.zomato.com/bangalore/firangi-bake-1-shanti-nagar-bangalore/order,Firangi Bake,4.0,₹100 for one,"Italian, Mexican, Desserts, North Indian"
153,https://www.zomato.com/bangalore/the-brooklyn-creamery-seshadripuram-bangalore/order,The Brooklyn Creamery,4.0,₹100 for one,"Ice Cream, Desserts"
154,https://www.zomato.com/bangalore/cold-stone-creamery-brigade-road-bangalore/order,Cold Stone Creamery,4.2,₹100 for one,"Ice Cream, Desserts"
155,https://www.zomato.com/bangalore/asian-bites-1-mg-road-bangalore/order,Asian Bites,-,₹100 for one,"Chinese, Asian, Desserts"
156,https://www.zomato.com/bangalore/hotel-karavali-rajajinagar-bangalore/order,Hotel Karavali,4.0,₹150 for one,"Mangalorean, Seafood, North Indian"
157,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/order,Raahi,3.9,₹150 for one,"North Indian, Biryani, Mughlai, Desserts, Beverages"
158,https://www.zomato.com/bangalore/the-market-the-ritz-carlton-residency-road/order,The Market - The Ritz-Carlton,3.4,₹150 for one,"North Indian, European, Asian"
159,https://www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order,Al Zaitoon,3.3,₹150 for one,"Chinese, North Indian, Mughlai, Lebanese"
160,https://www.zomato.com/bangalore/jai-sri-maruthi-hindu-military-hotel-rajajinagar-bangalore/order,Jai Sri Maruthi Hindu Military Hotel,-,₹150 for one,South Indian
161,https://www.zomato.com/bangalore/world-of-noodles-indiranagar-bangalore/order,World Of Noodles,New,₹150 for one,Chinese
162,https://www.zomato.com/bangalore/vallari-roti-and-snacks-ghar-seshadripuram-bangalore/order,Vallari Roti And Snacks Ghar,-,₹150 for one,"Fast Food, Gujarati"
163,https://www.zomato.com/bangalore/all-saints-bakery-brigade-road/order,All Saints Bakery,3.8,₹150 for one,"Bakery, Fast Food"
164,https://www.zomato.com/bangalore/pappa-roti-shivajinagar-bangalore/order,Pappa Roti,-,₹150 for one,"Cafe, Beverages, Desserts, Italian, Pizza, Fast Food"
165,https://www.zomato.com/bangalore/khalifa-biryani-centre-ejipura-bangalore/order,Khalifa Biryani Centre,New,₹150 for one,"Biryani, Chinese, North Indian"
166,https://www.zomato.com/bangalore/chai-kadi-thippasandra-bangalore/order,Chai & Kadi,-,₹150 for one,"South Indian, Tea, Coffee"
167,https://www.zomato.com/bangalore/foodism-in-residency-road-bangalore/order,Foodism.in,3.4,₹150 for one,"North Indian, Fast Food, Chinese, Beverages"
168,https://www.zomato.com/bangalore/snow-collection-shivajinagar-bangalore/order,Snow Collection,-,₹100 for one,"Street Food, Juices, Ice Cream"
169,https://www.zomato.com/bangalore/mr-donut-mg-road-bangalore/order,Mr Donut,New,₹100 for one,Desserts
170,https://www.zomato.com/bangalore/the-dessert-zone-domlur-bangalore/order,The Dessert Zone,New,₹100 for one,"Desserts, Beverages"
171,https://www.zomato.com/bangalore/pvr-café-koramangala-7th-block-bangalore/order,PVR Café,3.9,₹100 for one,Fast Food
172,https://www.zomato.com/bangalore/jose-mess-1-btm-bangalore/order,Jose Mess,4.1,₹100 for one,"Kerala, South Indian"
173,https://www.zomato.com/bangalore/dessert-studio-by-third-wave-mg-road-bangalore/order,Dessert Studio By Third Wave,-,₹100 for one,"Desserts, Bakery, Beverages"
174,https://www.zomato.com/bangalore/vishnu-garden-rt-nagar/order,Vishnu Garden,4.1,₹100 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food, Ice Cream, Beverages"
175,https://www.zomato.com/bangalore/mcdonalds-basavanagudi/order,McDonald's,4.1,₹100 for one,"Burger, Fast Food, Beverages, Desserts"
176,https://www.zomato.com/bangalore/slv-corner-restaurant-basavanagudi/order,SLV Corner Restaurant,4.2,₹100 for one,"South Indian, North Indian, Ice Cream, Beverages, Chinese"
